Name,State,District,Party,Amount
"Representative Perry, Scott",Pennsylvania,10,Republican,0
"Senator Peters, Gary C.",Michigan,,Democratic,0
"Representative Peters, Scott H.",California,52,Democratic,0
"Representative Peterson, Collin C.",Minnesota,7,Democratic,0
"Representative Phillips, Dean",Minnesota,3,Democratic,0
"Representative Pierluisi, Pedro R.",Puerto Rico,,Democratic,0
"Representative Pingree, Chellie",Maine,1,Democratic,0
"Representative Pittenger, Robert",North Carolina,9,Republican,0
"Representative Pitts, Joseph R.",Pennsylvania,16,Republican,0
"Representative Plaskett, Stacey E.",Virgin Islands,,Democratic,0
"Representative Pocan, Mark",Wisconsin,2,Democratic,0
"Representative Poe, Ted",Texas,2,Republican,0
"Representative Poliquin, Bruce",Maine,2,Republican,0
"Representative Polis, Jared",Colorado,2,Democratic,0
"Representative Pompeo, Mike",Kansas,4,Republican,0
"Representative Porter, Katie",California,45,Democratic,0
"Senator Portman, Rob",Ohio,,Republican,0
"Representative Posey, Bill",Florida,8,Republican,0
"Representative Pressley, Ayanna",Massachusetts,7,Democratic,0
"Representative Price, David E.",North Carolina,4,Democratic,0
"Representative Price, Tom",Georgia,6,Republican,0
"Representative Quigley, Mike",Illinois,5,Democratic,0
"Representative Radewagen, Aumua Amata Coleman",American Samoa,,Republican,0
"Representative Rangel, Charles B.",New York,13,Democratic,0
"Representative Raskin, Jamie",Maryland,8,Democratic,0
"Representative Ratcliffe, John",Texas,4,Republican,0
"Senator Reed, Jack",Rhode Island,,Democratic,0
"Representative Reed, Tom",New York,23,Republican,0
"Representative Reichert, David G.",Washington,8,Republican,0
"Senator Reid, Harry",Nevada,,Democratic,0
"Representative Renacci, James B.",Ohio,16,Republican,0
"Representative Reschenthaler, Guy",Pennsylvania,14,Republican,0
"Representative Ribble, Reid J.",Wisconsin,8,Republican,0
"Representative Rice, Kathleen M.",New York,4,Democratic,0
"Representative Rice, Tom",South Carolina,7,Republican,0
"Representative Richmond, Cedric L.",Louisiana,2,Democratic,0
"Representative Rigell, E. Scott",Virginia,2,Republican,0
"Representative Riggleman, Denver",Virginia,5,Republican,0
"Senator Risch, James E.",Idaho,,Republican,0
"Senator Roberts, Pat",Kansas,,Republican,0
"Representative Roby, Martha",Alabama,2,Republican,0
"Representative Roe, David P.",Tennessee,1,Republican,0
"Representative Rogers, Harold",Kentucky,5,Republican,0
"Representative Rogers, Mike D.",Alabama,3,Republican,0
"Representative Rohrabacher, Dana",California,48,Republican,0
"Representative Rokita, Todd",Indiana,4,Republican,0
"Senator Romney, Mitt ",Utah,,Republican,0
"Representative Rooney, Francis",Florida,19,Republican,0
"Representative Rooney, Thomas J.",Florida,17,Republican,0
"Representative Ros-Lehtinen, Ileana",Florida,27,Republican,0
"Representative Rose, John W.",Tennessee,6,Republican,0
"Representative Rose, Max",New York,11,Democratic,0
"Senator Rosen, Jacky",Nevada,,Democratic,0
"Representative Roskam, Peter J.",Illinois,6,Republican,0
"Representative Ross, Dennis A.",Florida,15,Republican,0
"Representative Rothfus, Keith J.",Pennsylvania,12,Republican,0
"Representative Rouda, Harley",California,48,Democratic,0
"Senator Rounds, Mike ",South Dakota,,Republican,0
"Representative Rouzer, David",North Carolina,7,Republican,0
"Representative Roy, Chip",Texas,21,Republican,0
"Representative Roybal-Allard, Lucille",California,40,Democratic,0
"Representative Royce, Edward R.",California,39,Republican,0
"Senator Rubio, Marco",Florida,,Republican,0
"Representative Ruiz, Raul",California,36,Democratic,0
"Representative Ruppersberger, C. A. Dutch",Maryland,2,Democratic,0
"Representative Rush, Bobby L.",Illinois,1,Democratic,0
"Representative Russell, Steve",Oklahoma,5,Republican,0
"Representative Rutherford, John H.",Florida,4,Republican,0
"Representative Ryan, Paul D.",Wisconsin,1,Republican,0
"Representative Ryan, Tim",Ohio,13,Democratic,0
"Representative Sablan, Gregorio Kilili Camacho",Northern Mariana Islands,,Democratic,0
"Representative Salmon, Matt",Arizona,5,Republican,0
"Representative San Nicolas, Michael F. Q.",Guam,,Democratic,0
"Representative Sanchez, Linda T.",California,38,Democratic,0
"Representative Sanchez, Loretta",California,46,Democratic,0
"Senator Sanders, Bernard",Vermont,,Independent,0
"Representative Sanford, Mark",South Carolina,1,Republican,0
"Representative Sarbanes, John P.",Maryland,3,Democratic,0
"Senator Sasse, Ben ",Nebraska,,Republican,0
"Representative Scalise, Steve",Louisiana,1,Republican,0
"Representative Scanlon, Mary Gay",Pennsylvania,5,Democratic,0
"Representative Schakowsky, Janice D.",Illinois,9,Democratic,0
"Senator Schatz, Brian",Hawaii,,Democratic,0
"Representative Schiff, Adam B.",California,28,Democratic,0
"Representative Schneider, Bradley Scott",Illinois,10,Democratic,0
"Representative Schock, Aaron",Illinois,18,Republican,0
"Representative Schrader, Kurt",Oregon,5,Democratic,0
"Representative Schrier, Kim",Washington,8,Democratic,0
"Senator Schumer, Charles E.",New York,,Democratic,0
"Representative Schweikert, David",Arizona,6,Republican,0
"Representative Scott, Austin",Georgia,8,Republican,0
"Representative Scott, David",Georgia,13,Democratic,0
"Senator Scott, Rick ",Florida,,Republican,0
"Representative Scott, Robert C. ""Bobby""",Virginia,3,Democratic,0
"Senator Scott, Tim",South Carolina,,Republican,0
"Representative Sensenbrenner, F. James, Jr.",Wisconsin,5,Republican,0
"Representative Serrano, Jose E.",New York,15,Democratic,0
"Senator Sessions, Jeff",Alabama,,Republican,0
"Representative Sessions, Pete",Texas,32,Republican,0
"Representative Sewell, Terri A.",Alabama,7,Democratic,0
"Senator Shaheen, Jeanne",New Hampshire,,Democratic,0
"Representative Shalala, Donna E.",Florida,27,Democratic,0
"Representative Shea-Porter, Carol",New Hampshire,1,Democratic,0
"Senator Shelby, Richard C.",Alabama,,Republican,0
"Representative Sherman, Brad",California,30,Democratic,0
"Representative Sherrill, Mikie",New Jersey,11,Democratic,0
"Representative Shimkus, John",Illinois,15,Republican,0
"Representative Shuster, Bill",Pennsylvania,9,Republican,0
"Representative Simpson, Michael K.",Idaho,2,Republican,0
"Senator Sinema, Kyrsten",Arizona,,Democratic,0
"Representative Sires, Albio",New Jersey,8,Democratic,0
"Representative Slaughter, Louise McIntosh",New York,25,Democratic,0
"Representative Slotkin, Elissa",Michigan,8,Democratic,0
"Representative Smith, Adam",Washington,9,Democratic,0
"Representative Smith, Adrian",Nebraska,3,Republican,0
"Representative Smith, Christopher H.",New Jersey,4,Republican,0
"Representative Smith, Jason",Missouri,8,Republican,0
"Representative Smith, Lamar",Texas,21,Republican,0
"Senator Smith, Tina ",Minnesota,,Democratic,0
"Representative Smucker, Lloyd",Pennsylvania,11,Republican,0
"Representative Soto, Darren",Florida,9,Democratic,0
"Representative Spanberger, Abigail Davis",Virginia,7,Democratic,0
"Representative Spano, Ross",Florida,15,Republican,0
"Representative Speier, Jackie",California,14,Democratic,0
"Senator Stabenow, Debbie",Michigan,,Democratic,0
"Representative Stanton, Greg",Arizona,9,Democratic,0
"Representative Stauber, Pete",Minnesota,8,Republican,0
"Representative Stefanik, Elise M.",New York,21,Republican,0
"Representative Steil, Bryan",Wisconsin,1,Republican,0
"Representative Steube, W. Gregory",Florida,17,Republican,0
"Representative Stevens, Haley M.",Michigan,11,Democratic,0
"Representative Stewart, Chris",Utah,2,Republican,0
"Representative Stivers, Steve",Ohio,15,Republican,0
"Senator Strange, Luther",Alabama,,Republican,0
"Representative Stutzman, Marlin A.",Indiana,3,Republican,0
"Senator Sullivan, Dan ",Alaska,,Republican,0
"Representative Suozzi, Thomas R.",New York,3,Democratic,0
"Representative Swalwell, Eric",California,15,Democratic,0
"Representative Takai, Mark",Hawaii,1,Democratic,0
"Representative Takano, Mark",California,41,Democratic,0
"Representative Taylor, Scott",Virginia,2,Republican,0
"Representative Taylor, Van",Texas,3,Republican,0
"Representative Tenney, Claudia",New York,22,Republican,0
"Senator Tester, Jon",Montana,,Democratic,0
"Representative Thompson, Bennie G.",Mississippi,2,Democratic,0
"Representative Thompson, Glenn",Pennsylvania,15,Republican,0
"Representative Thompson, Mike",California,5,Democratic,0
"Representative Thornberry, Mac",Texas,13,Republican,0
"Senator Thune, John",South Dakota,,Republican,0
"Representative Tiberi, Patrick J.",Ohio,12,Republican,0
"Senator Tillis, Thom",North Carolina,,Republican,0
"Representative Timmons, William R. IV",South Carolina,4,Republican,0
"Representative Tipton, Scott  R.",Colorado,3,Republican,0
"Representative Titus, Dina",Nevada,1,Democratic,0
"Representative Tlaib, Rashida",Michigan,13,Democratic,0
"Representative Tonko, Paul",New York,20,Democratic,0
"Senator Toomey, Pat",Pennsylvania,,Republican,0
"Representative Torres Small, Xochitl",New Mexico,2,Democratic,0
"Representative Torres, Norma J.",California,35,Democratic,0
"Representative Trahan, Lori",Massachusetts,3,Democratic,0
"Representative Trone, David J.",Maryland,6,Democratic,0
"Representative Trott, David A.",Michigan,11,Republican,0
"Representative Tsongas, Niki",Massachusetts,3,Democratic,0
"Representative Turner, Michael R.",Ohio,10,Republican,0
"Senator Udall, Tom",New Mexico,,Democratic,0
"Representative Underwood, Lauren",Illinois,14,Democratic,0
"Representative Upton, Fred",Michigan,6,Republican,0
"Representative Valadao, David G.",California,21,Republican,0
"Representative Van Drew, Jefferson",New Jersey,2,Democratic,0
"Senator Van Hollen, Chris",Maryland,,Democratic,0
"Representative Vargas, Juan",California,51,Democratic,0
"Representative Veasey, Marc A.",Texas,33,Democratic,0
"Representative Vela, Filemon",Texas,34,Democratic,0
"Representative Velazquez, Nydia M.",New York,7,Democratic,0
"Representative Visclosky, Peter J.",Indiana,1,Democratic,0
"Senator Vitter, David",Louisiana,,Republican,0
"Representative Wagner, Ann",Missouri,2,Republican,0
"Representative Walberg, Tim",Michigan,7,Republican,0
"Representative Walden, Greg",Oregon,2,Republican,0
"Representative Walker, Mark",North Carolina,6,Republican,0
"Representative Walorski, Jackie",Indiana,2,Republican,0
"Representative Walters, Mimi",California,45,Republican,0
"Representative Waltz, Michael",Florida,6,Republican,0
"Representative Walz, Timothy J.",Minnesota,1,Democratic,0
"Senator Warner, Mark R.",Virginia,,Democratic,0
"Senator Warren, Elizabeth",Massachusetts,,Democratic,0
"Representative Wasserman Schultz, Debbie",Florida,23,Democratic,0
"Representative Waters, Maxine",California,43,Democratic,0
"Representative Watkins, Steve",Kansas,2,Republican,0
"Representative Watson Coleman, Bonnie",New Jersey,12,Democratic,0
"Representative Weber, Randy K., Sr.",Texas,14,Republican,0
"Representative Webster, Daniel",Florida,11,Republican,0
"Representative Welch, Peter",Vermont,,Democratic,0
"Representative Wenstrup, Brad R.",Ohio,2,Republican,0
"Representative Westerman, Bruce",Arkansas,4,Republican,0
"Representative Westmoreland, Lynn A.",Georgia,3,Republican,0
"Representative Wexton, Jennifer",Virginia,10,Democratic,0
"Senator Whitehouse, Sheldon",Rhode Island,,Democratic,0
"Representative Whitfield, Ed",Kentucky,1,Republican,0
"Senator Wicker, Roger F.",Mississippi,,Republican,0
"Representative Wild, Susan",Pennsylvania,7,Democratic,0
"Representative Williams, Roger",Texas,25,Republican,0
"Representative Wilson, Frederica S.",Florida,24,Democratic,0
"Representative Wilson, Joe",South Carolina,2,Republican,0
"Representative Wittman, Robert J.",Virginia,1,Republican,0
"Representative Womack, Steve",Arkansas,3,Republican,0
"Representative Woodall, Rob",Georgia,7,Republican,0
"Representative Wright, Ron",Texas,6,Republican,0
"Senator Wyden, Ron",Oregon,,Democratic,0
"Representative Yarmuth, John A.",Kentucky,3,Democratic,0
"Representative Yoder, Kevin",Kansas,3,Republican,0
"Representative Yoho, Ted S.",Florida,3,Republican,0
"Representative Young, David",Iowa,3,Republican,0
"Representative Young, Don",Alaska,,Republican,0
"Senator Young, Todd",Indiana,,Republican,0
"Representative Zeldin, Lee M.",New York,1,Republican,0
"Representative Zinke, Ryan K.",Montana,,Republican,0
